customer_message,true_intent,top_retrieved_example,top_retrieved_reply,drafted_reply
"@SpotifyCares Outsource it or something then
My people need music
Better managed and legal
Hurry up please",Noise / Unclassifiable,@SpotifyCares Free,@339892 1: Thanks for the info. This is part of our Free service. We have more info here: https://t.co/Uv9kyGcsCc. To reduce the number...,"@123456 Hi! We’re working on expanding our legal & licensing options for teams. In the meantime, please DM us your account email so we can check what’s available for your region. /SP 🚀"
I'm so annoyed that Spotify doesn't have a customer service line,Feature Request / Feedback,@SpotifyCares I’ve had the worst customer service I’ve ever had. Can I please get some help. I’ve been waiting all day.,@502759 Sorry for the delay! We've just sent you a DM. Let's carry on chatting there /RH,@123456 Sorry for the inconvenience—phone support isn’t available. DM us your account email and we’ll help you out /AR https://t.co/ldFdZRiNAt
@115888 guys when will I be able to stream directly to my Apple Watch 3 LTE?,Feature Request / Feedback,@115888 sooooo... when you gon release an apple watch app?? https://t.co/IT8y7OzNoi,@797221 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /JS,@123456 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /JS
"Spotify is DOWN omgggg, what am I gonna do

@115948 are you there???",App & Technical Issues,Am I the only one who’s Spotify isn’t working right now ? @115888,"@806230 Hey! Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon /CP","@115948 Hey! Our team’s on it—should be back up shortly. If you’re still seeing problems, DM us your email and we’ll dig deeper. /CP"
@SpotifyCares I hope so because I use Spotify everyday and have enlisted others to use it too. Not sure how much more of a fan I can get.,Noise / Unclassifiable,"@SpotifyCares Well it depend, certains yes but other no",@140669 2: They should help with this. We're here for you if there's anything else /YM,"@123456 Thanks for being a loyal fan! 🎧 You can earn up to 10,000 fan points per month—just keep listening and sharing. If you need help checking your current points, DM us your account email. /KM"
@115888 Can anyone other than students get some love? Woulda been a nice deal to get when I was in school,Feature Request / Feedback,@115888 How about non students !? ☹,@147131 Hey! Could you DM us your account's email address or username? We'll see what we can suggest /AY https://t.co/ldFdZRiNAt,"@115888 Hey! If you’re not a student, we don’t have a special discount for that. If you’d like us to look into your account, please DM us your email or username. /AY https://t.co/ldFdZRiNAt"
"@SpotifyCares When I go to Programs and click “Uninstall,” it shows me the same message as when I try to open Spotify. That it’s missing ‘api-ms-win-core-processthreads-|1-1-1.dll’",App & Technical Issues,"@SpotifyCares ""Cannot find 'API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL'  please, reinstall this application.""",@238740 Hey there! We've just sent a DM your way. Let's carry on chatting there /MT,@123456 Hey there! It sounds like a DLL issue. Please DM us your account email so we can dig deeper and get you a fix. /BH
"@115888
Hello, just paid for premium and am not getting the service",Premium & Subscription,@115888 hey paying for premium and not getting any of the premium perks. I have receipt,@124510 @115888 Hi! We've just replied to your DM. We'll carry on helping there /MQ,@115888 Hi! Can you DM us your account email? We'll look into it /KC https://t.co/ldFdZRiNAt
@SpotifyCares I love you 😂 yeah we can,Noise / Unclassifiable,@SpotifyCares yes! 😃,@472172 2: on their number of all-time streams and their number of recent streams. We hope that clears things up /JM,"@123456 Thanks for the love! If you need anything, just DM us your email and we’ll help you out. We’re here for you! /XX"
"@SpotifyCares On iPhone X, the Spotify app will not resume music after taking a phone call without fully closing and restarting the app. This issue was not present when using iOS 11 on other iOS devices, so i assume it's lack of iPhone X support.",Playback & Audio,"@SpotifyCares I’m having issues on iOS11 with my iPhone 8 Plus not resuming music after a phone call, or using Siri. I have to force close the app and restart it to get music to resume. Any ideas on what I can do? I’m fully updated on the newest version of the app and reinstalled",@628150 Hey Dylan! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,@123456 Hey! That’s frustrating. Could you DM us your account’s email address so we can dig into this? We’ll get back to you ASAP /AU https://t.co/ldFdZRiNAt
