customer_tweet_id,customer_text,reply_tweet_id,reply_text
1277334,@SpotifyCares Amazing! Is it possible to transfer my favourite songs from Deezer to Spotify???,1277333,@418949 You can find useful info on migrating your Deezer playlists here: https://t.co/b8g5LSSFCQ 🙂/KL
1867684,@SpotifyCares my Premium account has changed to free even though my payments have gone through. I have lost all my playlists.,1867682,"@557917 Hey Bianca, help's here! Could you DM us your account's username and email address? We'll take a look under the hood 🔍 /DQ https://t.co/ldFdZRiNAt"
16942,@SpotifyCares No I can't,16944,@119724 2: startup options here: https://t.co/RiTzQF2Sip. Keep us posted /NQ
572683,@SpotifyCares dm please! I need you help!,572682,@254569 Hey there! What's happening exactly? Can you DM us your account's username or email address? We'll take a look backstage /AP https://t.co/ldFdZRiNAt
1569790,@SpotifyCares That's silly. There needs 2 B a way to remove a song when it plays. Searching thru playlists to find the song and delete is ridic. 9 clicks.,1569792,@484168 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /NQ
2846494,@108393 Hi @SpotifyCares,2846492,"@791700 Hey there! Is there something you need our help with? If so, let us know and we'll take a look 🙂 /VK"
1920587,Hey @115888 u used to be cool... #wantmypremiumaccountback,1920586,"@571761 Hi there, the cavalry's here! Can you DM us your account’s email address and username? We'd love to help out /JI https://t.co/ldFdZRiNAt"
1780214,@534852 I changed my password to FB I don't understand how they logged onto Spotify and didn't hack my Facebook. Spotify has serious security stuff,1780213,"@534851 Hey Felicia, help's here! Could you DM us the email address linked to your account? We'll help you out backstage 🔍 /T https://t.co/ldFdZRiNAt"
2165537,"@SpotifyCares Is there any kind of two-factor identification available for the app yet? Just got a scare of possibly hacked account, already took all steps to secure it, but I'd enjoy extra safety!!",2165536,"@635609 Hey! We're afraid this isn't available yet, but you can show your support for the same idea in our Community: https://t.co/YbSHEKRk7m /RE"
1945222,@SpotifyCares Nope - even logged out and back in and won't scrobble from my phone. :(,1945223,@578217 Would you mind sending us your account's email address via DM? We'll check things out /CX https://t.co/ldFdZRiNAt
