tweet_id,customer_message_llm,drafted_reply_llm,relevance,tone_fit,groundedness,actionability,notes,customer_message_human,drafted_reply_human,human_relevance,human_tone_fit,human_groundedness,human_actionability
1224223,@SpotifyCares It’s set to the United States.. I live in America,@123456 Thanks. Could you try this link: https://t.co/X4cfqVdpmW? Is this the album you're looking for? /LO,1,2,4.0,3.0,The reply does not address the customer’s issue about region,@SpotifyCares It's set to the United States.. I live in America,Thanks. Could you try this link? Is this the album you're looking for?,2,3,3,2
1358989,@SpotifyCares My Operating system is Android and the version of Spotify is 8.4.22.857,@123456 Got it. Could you let us know the make and model of the device you're using? /MG,2,4,5.0,4.0,"The reply does not address the lack of a stated issue, so relevance is lowest.",@SpotifyCares My Operating system is Android and the version of Spotify is 8.4.22.857,Got it. Could you let us know the make and model of the device you're using?,4,4,5,4
777912,@SpotifyCares please i need it in my country,@123456 Thanks. Sometimes tracks are removed due to licensing or legal reasons. Hopefully it will be available again soon. /UK,3,2,5.0,1.0,No clear next step or guidance for the user.,@SpotifyCares please i need it in my country,Thanks. Sometimes tracks are removed due to licensing or legal reasons. Hopefully it will be available again soon.,4,4,4,3
2061017,@SpotifyCares Are you ever going to do an Apple Watch app? Where you can download playlists etc.? It’s in demand!!!!,@123456 Hey! Check out the official idea and add your vote to let our devs know it’s something you’d like to see: https://t.co/SEK4E4gi22 /TF,5,5,5.0,5.0,"All criteria are met with a clear, safe, and actionable",@SpotifyCares Are you ever going to do an Apple Watch app?,Check out the official idea and add your vote to let our devs know,5,5,5,4
2720681,@SpotifyCares @SpotifyCares took care of my very lengthy issue. Very professional and nice to see someone actually believes in great customer service! 😀😀😀,@123456 Thanks for the love! Glad we could help you out. Keep rocking 🎶 /BX,5,5,5.0,5.0,All criteria are met equally.,@SpotifyCares took care of my very lengthy issue. Very professional!,Thanks for the love! Glad we could help you out.,5,5,5,4
2414553,"@SpotifyCares On iPhone X, the Spotify app will not resume music after taking a phone call without fully closing and restarting the app. This issue was not present when using iOS 11 on other iOS devices, so i assume it's lack of iPhone X support.",@123456 Hey! Could you DM us your account’s email address? We’ll take a look backstage /QI,1,3,5.0,2.0,The reply does not address the specific issue of playback after a call.,"On iPhone X, the Spotify app will not resume music after taking a phone call...",Could you DM us your account's email address? We'll take a look backstage,2,4,4,3
2924066,@SpotifyCares Any promotions for someone who wants to sign up to Premium?,"@123456 Hey! We’re happy to help. The current promo is only for new Premium subscribers, so if you’re signing up now you’re eligible. Let us know if you need help getting started! /AY",5,5,2.0,5.0,Lowest score because it claims a specific promo rule that may not be verified.,Any promotions for someone who wants to sign up to Premium?,"The current promo is only for new Premium subscribers, so if you're signing up now you're eligible",4,5,2,4
783585,@SpotifyCares hey guys do you kindly wanna offer me a deal for a first time subscription buyer? #cheeky #tryingmyluck,@123456 Hey there! Could you DM us your email or username so we can check what options might be available for you? 🙂 /PC https://t.co/ldFdZRiNAt,4,5,5.0,5.0,Lowest score due to not directly addressing the request for a deal.,hey guys do you kindly wanna offer me a deal for a first time subscription buyer?,Could you DM us your email or username so we can check what options might be available,3,4,4,4
1591191,@SpotifyCares It is happening again...this is so annoying. https://t.co/g0GHVnXo8L,"@123456 Hey! We’re on it. Try logging out, restarting your device, then logging back in. Let us know if that fixes it /TY",5,4,5.0,5.0,Slightly informal greeting could be tightened for a more professional tone.,It is happening again...this is so annoying.,"We're on it. Try logging out, restarting your device, then logging back in",4,4,4,4
1850974,@115888 why do I have a bunch of songs greyed out on my songs list??..,"@115888 Hey! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",4,4,5.0,3.0,Lowest score due to not providing a clear next step beyond asking for more info.,why do I have a bunch of songs greyed out on my songs list??,"Can you let us know what device, operating system, and Spotify version you're using?",2,4,4,3
