tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,suggested_label,final_label,review_flag
67681,131454,True,Wed Nov 29 09:05:43 +0000 2017,"Hi @115888, 
I was just wondering why your service has turned into absolute dogshit in the last month?",67680,,,Noise / Unclassifiable,
1222450,406847,True,Sun Oct 15 20:41:00 +0000 2017,"@SpotifyCares 
I’m confused, if I have premium.
I know I don’t own, but I wanted to feel like it.
What is the maximum &amp; why?
Thanks https://t.co/giMLpiIqN6","1222449,1222451",,,How-to / General Question,
1816272,118058,True,Mon Oct 16 06:16:07 +0000 2017,"@SpotifyCares It’s a feature that others have. You’re running an A/B experiment, and I’d like to be in the population that has the feature. Make sense?",1816274,1816271.0,,Feature Request / Feedback,
2912521,806251,True,Tue Nov 28 20:16:53 +0000 2017,"Yo, @115888 I’m gonna need you to get your shit together today. https://t.co/oknFU4sKvG",2912519,,,Noise / Unclassifiable,
808959,312760,True,Thu Oct 12 18:42:25 +0000 2017,@SpotifyCares Hi hello Spotify cares mine is still pausing and playing as well as changing songs,808957,808961.0,,Playback & Audio,
850018,321971,True,Fri Oct 20 06:35:22 +0000 2017,"@SpotifyCares It is happening with other artists, sometimes it says ""cant play song"" I think but mostly I just try to click it and nothing plays. I uninstalled the app and re-downloaded it but that didn't help.",850017,850019.0,,Playback & Audio,
23282,121073,True,Wed Nov 01 07:20:22 +0000 2017,@115888 your app is trash on PS4. freezes everyday,23281,,,App & Technical Issues,
2198068,642950,True,Fri Nov 10 02:37:52 +0000 2017,@SpotifyCares Thanks,2198069,2198067.0,,Noise / Unclassifiable,
2645740,746465,True,Fri Nov 17 18:23:29 +0000 2017,@SpotifyCares yo I can’t change my credit card details at all I get an endless loading circle any time I try,2645739,,,Billing & Payment,
1945222,578217,True,Mon Oct 30 09:18:08 +0000 2017,@SpotifyCares Nope - even logged out and back in and won't scrobble from my phone. :(,1945223,1945221.0,,Playback & Audio,
1358989,436842,True,Mon Oct 16 14:39:57 +0000 2017,@SpotifyCares My Operating system is Android and the version of Spotify is 8.4.22.857,1358991,1358988.0,,Noise / Unclassifiable,
1350844,434982,True,Tue Nov 07 06:53:57 +0000 2017,"@118266 Kenapa spotify premium saya belum aktif ya?
Padahal sudah melunasi pembayaran dan dapat  email buktinya.",1350843,,,Premium & Subscription,
1848347,553486,True,Thu Oct 19 20:06:13 +0000 2017,why isnt thw whole heathers soundtrack available @115888,1848346,,,Content Availability,
2751291,770257,True,Tue Nov 21 00:44:58 +0000 2017,@115888 your ad free bit blew the speakers in my car : (,2751290,,,App & Technical Issues,
1044750,367011,True,Sat Oct 14 15:18:55 +0000 2017,@SpotifyCares Hi! I want to see the address of my account. How can I do that? Help please :),1044749,,,How-to / General Question,
902396,334233,True,Sat Oct 21 01:00:52 +0000 2017,"@SpotifyCares @15037 Same issue as here 😬

https://t.co/2xReNqIZcM",902397,902395.0,,Noise / Unclassifiable,
1891690,564083,True,Wed Oct 18 10:45:55 +0000 2017,"@115888 I did not activate Headspace, but you bill me for that since 4 months. Please refund",1891689,,,Billing & Payment,
2934325,811361,True,Wed Nov 29 09:43:43 +0000 2017,@SpotifyCares Nevermind it works again 😇,2934327,2934324.0,,Noise / Unclassifiable,
44317,144626,True,Fri Nov 24 01:26:56 +0000 2017,"@115888 Please, send me the pin code. 🙏",127471,44307.0,,Account & Login,
2477835,708218,True,Wed Nov 15 14:17:35 +0000 2017,"@117153 I normally have a premium account, now my premium account is gone. However my boyfriend has no issues and we have the family account. How can I fix this",2477834,,,Premium & Subscription,
2202402,644030,True,Thu Oct 19 14:33:22 +0000 2017,"@SpotifyCares this was happening about an hour ago, I haven't checked if its still going on",2202403,2202400.0,Noise / Unclassifiable,Noise / Unclassifiable,
