tweet_id,text,final_label
67681,"Hi @115888, 
I was just wondering why your service has turned into absolute dogshit in the last month?",Noise / Unclassifiable
2912521,"Yo, @115888 I’m gonna need you to get your shit together today. https://t.co/oknFU4sKvG",Noise / Unclassifiable
2198068,@SpotifyCares Thanks,Noise / Unclassifiable
1222450,"@SpotifyCares 
I’m confused, if I have premium.
I know I don’t own, but I wanted to feel like it.
What is the maximum &amp; why?
Thanks https://t.co/giMLpiIqN6",How-to / General Question
1044750,@SpotifyCares Hi! I want to see the address of my account. How can I do that? Help please :),How-to / General Question
2981984,when should i expect my top songs of 2017 @115888,How-to / General Question
1816272,"@SpotifyCares It’s a feature that others have. You’re running an A/B experiment, and I’d like to be in the population that has the feature. Make sense?",Feature Request / Feedback
1787637,@115888 @116130 why is there no option for a ‘clear all’ in the recently played section? It’s very tedious doing it one by one 😴 #iphone,Feature Request / Feedback
1003772,@SpotifyCares @115888 Hopefully you will support blocking/hiding songs/playlists from a specific user/artist/album/genre/country.,Feature Request / Feedback
808959,@SpotifyCares Hi hello Spotify cares mine is still pausing and playing as well as changing songs,Playback & Audio
850018,"@SpotifyCares It is happening with other artists, sometimes it says ""cant play song"" I think but mostly I just try to click it and nothing plays. I uninstalled the app and re-downloaded it but that didn't help.",Playback & Audio
1945222,@SpotifyCares Nope - even logged out and back in and won't scrobble from my phone. :(,Playback & Audio
23282,@115888 your app is trash on PS4. freezes everyday,App & Technical Issues
2751291,@115888 your ad free bit blew the speakers in my car : (,App & Technical Issues
2785004,Opened up @115888 before getting on a plane and it said all the songs I downloaded are gone? What gives?,App & Technical Issues
2645740,@SpotifyCares yo I can’t change my credit card details at all I get an endless loading circle any time I try,Billing & Payment
1891690,"@115888 I did not activate Headspace, but you bill me for that since 4 months. Please refund",Billing & Payment
1021773,"@SpotifyCares out of 4 cards none of them will accept my payment for my family account, what's up? 😒",Billing & Payment
1350844,"@118266 Kenapa spotify premium saya belum aktif ya?
Padahal sudah melunasi pembayaran dan dapat  email buktinya.",Premium & Subscription
2477835,"@117153 I normally have a premium account, now my premium account is gone. However my boyfriend has no issues and we have the family account. How can I fix this",Premium & Subscription
2317057,@SpotifyCares I cancelled my subscription just for the moment. I'll be back next monday!!,Premium & Subscription
1848347,why isnt thw whole heathers soundtrack available @115888,Content Availability
1028413,"@SpotifyCares I've done it already. Can't you escalate this?  There are barely no french-canadian schools listed, although all on @115948. @71547",Content Availability
2815953,"@SpotifyCares hey, i find Gfriend music in your apps but i can't find their ""LOL"" album....How about that ? Can you add the album to your apps ?? Thank you...😀😀",Content Availability
44317,"@115888 Please, send me the pin code. 🙏",Account & Login
2985574,"@SpotifyCares I cannot find the email address linked to my premium account and nor do I have the password, is there anything you could do?",Account & Login
2141727,@SpotifyCares  You charge me but keep DELETING my premium account! What  is wrong with this outfit???? Why can't username Botttz log in all of the sudden???Getting tired of losing playlists!!!!!!!!!!!!!!!!!!!!!!!!!,Account & Login
1778059,"@115888 what happened to the ""Weekend Party"" playlist aka the best playlist ever??  What am I supposed to do now??",Playlist & Library
408928,"@SpotifyCares example: i have a playlist that's 1/3rd sorority noise and their songs all appear directly after each other in a block at the end ""shuffled""",Playlist & Library
160517,Hey @115888 how do I block a song from your Christmas playlists? https://t.co/XZJhdfwjn1,Playlist & Library
1555448,@115888 im sick of your fuckin ads playin all the godamn time. Be generous and cut the amount of ads playing every fucking 3 minutes😡😡,Ads / Free Tier
