tweet_id,customer_message,drafted_reply,human_relevance,human_tone_fit,human_groundedness,human_actionability
1224223,"@SpotifyCares It's set to the United States.. I live in America","Thanks. Could you try this link? Is this the album you're looking for?",2,3,3,2
1358989,"@SpotifyCares My Operating system is Android and the version of Spotify is 8.4.22.857","Got it. Could you let us know the make and model of the device you're using?",4,4,5,4
777912,"@SpotifyCares please i need it in my country","Thanks. Sometimes tracks are removed due to licensing or legal reasons. Hopefully it will be available again soon.",4,4,4,3
2061017,"@SpotifyCares Are you ever going to do an Apple Watch app?","Check out the official idea and add your vote to let our devs know",5,5,5,4
2720681,"@SpotifyCares took care of my very lengthy issue. Very professional!","Thanks for the love! Glad we could help you out.",5,5,5,4
2414553,"On iPhone X, the Spotify app will not resume music after taking a phone call...","Could you DM us your account's email address? We'll take a look backstage",2,4,4,3
2924066,"Any promotions for someone who wants to sign up to Premium?","The current promo is only for new Premium subscribers, so if you're signing up now you're eligible",4,5,2,4
783585,"hey guys do you kindly wanna offer me a deal for a first time subscription buyer?","Could you DM us your email or username so we can check what options might be available",3,4,4,4
1591191,"It is happening again...this is so annoying.","We're on it. Try logging out, restarting your device, then logging back in",4,4,4,4
1850974,"why do I have a bunch of songs greyed out on my songs list??","Can you let us know what device, operating system, and Spotify version you're using?",2,4,4,3
1514286,"Your site is freezing while listening to music","Hey, we're on it! What device, operating system, and Spotify version are you using?",4,4,4,4
1378813,"When I click certain songs nothing happens. Same thing happened to my friend","Try logging out, restarting the device, logging back in-does that help?",4,4,4,4
2484443,"Spotify is just trolling at this point. Two updates and no iPhone X optimization","We hear you-our devs are on it and will share updates as soon as we have them",3,4,3,2
2629117,"where is the perfect velvet😔","Don't worry, we'll have it available to you as soon as it's available to us",2,4,3,2
2691960,"Now that's service!","Thanks for the love! Glad we could help.",5,5,5,4
2602374,"so is the iPhone issue a problem or a Spotify is making money off the data problem?","Could you share the iPhone model, iOS version, and Spotify app version?",3,3,4,4
1644809,"It's also gone from the control center...google has me confused...I don't like technology","Could you let us know your iOS and Spotify app versions?",4,4,4,4
780954,"what's the presale code for @26720???","Pre-sale codes are sent out via email to a select group of the biggest fans on Spotify",2,4,2,1
1513486,"Is this something that will be fixed shortly? I like seeing when exactly in the year things were released","We don't have a release date to share right now, but we'll keep you posted",5,4,5,3
1877948,"That's on an Andriod BTW. Samsung S7","Does logging out, restarting your phone, and then logging back in help?",4,4,4,4
