tweet_id,text,true_label,predicted_intent,top_similarity,decision,reason
1358989,@SpotifyCares My Operating system is Android and the version of Spotify is 8.4.22.857,Noise / Unclassifiable,Noise / Unclassifiable,0.918,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.92 similarity)
902396,"@SpotifyCares @15037 Same issue as here 😬

https://t.co/2xReNqIZcM",Noise / Unclassifiable,Noise / Unclassifiable,0.938,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.94 similarity)
2934325,@SpotifyCares Nevermind it works again 😇,Noise / Unclassifiable,Noise / Unclassifiable,0.944,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.94 similarity)
2202402,"@SpotifyCares this was happening about an hour ago, I haven't checked if its still going on",Noise / Unclassifiable,Noise / Unclassifiable,0.89,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.89 similarity)
1591191,@SpotifyCares It is happening again...this is so annoying. https://t.co/g0GHVnXo8L,Playback & Audio,Noise / Unclassifiable,0.885,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.89 similarity)
817720,"@SpotifyCares I’m cryin, I love y’all",Noise / Unclassifiable,Noise / Unclassifiable,0.843,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
868511,"Here’s a song for you… Here I Come by Deuce
https://t.co/sECBhezb0z
Oh my god deuce is back and I fucking love it!",Noise / Unclassifiable,Noise / Unclassifiable,0.448,ESCALATE,"Low retrieval confidence (0.45 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
632022,@116130 but it’s been cut off....again🙄🙄🙄 https://t.co/qtkzO3Hoeq,Playback & Audio,Playback & Audio,0.769,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.77 similarity)
351213,By the looks of it this is very common and no one has found a solution? https://t.co/PaLfaUg6A0 @115888 @116130,Noise / Unclassifiable,Noise / Unclassifiable,0.474,ESCALATE,"Low retrieval confidence (0.47 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2294409,"Why doesn't @115888 have a Shazam-like plugin to listen, identify &amp; then ADD a song to a playlist... #YoureWelcome #RoyaltiesAccepted 😉",Feature Request / Feedback,Feature Request / Feedback,0.624,ESCALATE,"Low retrieval confidence (0.62 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2061469,@SpotifyCares Please look into this issue,Noise / Unclassifiable,Noise / Unclassifiable,0.946,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.95 similarity)
291860,@115888  When will you be supporting Alexa’s multiroom capabilities?,Feature Request / Feedback,Feature Request / Feedback,0.752,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.75 similarity)
2272789,@SpotifyCares hi! i'd like to change my country so that i could be added to my roommates' family plan! pls assist,Premium & Subscription,Account & Login,0.862,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2304468,@SpotifyCares Thanks https://t.co/3UO1otuQi6,Noise / Unclassifiable,Noise / Unclassifiable,0.953,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.95 similarity)
